视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
大型纪录片《张元英舞台转圈》你转圈平淡无味，她转圈千娇百媚,老六传奇纪录片,382649,0,9444,624,47,0,北京,1711876685,66,BV1tz421f7hD
【吃瓜sp53】成都迪士尼创始人，rapper诺米抽象的一生完整复盘！,神烦XP,183008,474,1029,7224,204,1099,江西,1712738763,377,BV1zA4m1F7vM
鞠婧祎、杨洋、杨幂……谁才是演戏“包袱王”？,不八卦会死星人V,201196,587,582,4209,175,44,四川,1712741475,482,BV1BC411579p
【花泽香菜声优出道20周年】过去和未来，追忆和指尖,花泽香菜,98164,110,1007,14713,2006,372,上海,1712806765,126,BV131421m7dG
ILLIT签售｜脑速五公里。,徽庆洞也有小狗,262052,72,3074,20931,595,948,韩国,1712673587,58,BV19z421k7f1
纪录片《上班好还是上学好》,小橙酱一,870721,0,16624,2294,499,4,河南,1711660252,67,BV181421D7b7
你永远学不会的鬼步舞，大型纪录片《鬼步舞》持续为您播出！,艾伦纪录片,556631,0,8680,1677,96,1,河北,1709962959,63,BV12C41187PW
【吃瓜报告】近期内娱离谱瓜盘点点评（4月第1期）,动物园会议,873969,6015,2230,42989,2068,1112,北京,1712577362,511,BV1jA4m1F7kZ
好好好，当年长得丑演你们这剧犯法是吧！！！配角都这么好看！！,冰淇镇,146069,263,614,3302,38,34,安徽,1712936507,178,BV1kD421n76y
“有钱有颜”刘亦菲：住价值16000平豪宅，却一直深陷绯闻之中！,娱乐没边儿i,164461,10,1733,514,16,3,山东,1712713490,171,BV1px4y1Y7DX
扎心36问｜老纪一句话让嘉宾崩溃大哭！如果能回到童年，你会改变当初自己的选择吗？【再见爱人3reaction】,斑马酱锵锵锵,121672,1218,635,4828,1758,191,北京,1712829847,1438,BV1KE421u73u
擦边，被封，撒谎，直播轻生，三观正？狗头萝莉嚣张的卖惨路？,吃瓜郭昱麟,1696018,10076,13401,53612,9592,3359,山东,1712487600,1757,BV1Jm421E7nP
当不懂韩娱的老板同事爆改 kpop名曲，如听仙乐耳暂冥！,老板连b站也不刷,100107,237,575,14121,237,359,广东,1712895454,133,BV16p421Q7D7
【赵露思的VLOG】密室逃脱初体验✌️,赵露思,221346,582,10334,10957,3959,236,北京,1712462318,178,BV1wH4y1M7v5
撒贝宁一开口，就是顶级销售！【了不起的挑战】,综艺哔哔机,737193,179,730,29019,130,64,上海,1711533602,140,BV1ox4y12762
【吃瓜】于正吹白鹿超一线演员！赵丽颖林更新cp被拆？欧阳娜娜回应过往争议！,天气微凉淡淡月光,130440,1884,400,4700,62,80,山东,1712910600,492,BV1dT421m7uo
如果霍雨浩的岳父是萧炎的话，故事该怎么发展？,风雪唉,320466,0,2010,320,26,0,福建,1712363971,310,BV1cx4y1Y7cy
张艺兴时隔八年去韩国打歌,八卦永动机西柚,147441,263,429,4788,373,110,北京,1712894672,123,BV1iD421p7Kb
《无限超越班》狠活不停歇，和孙答应颠鸾倒凤的狂徒找到了！,刘哔电影,662445,6628,1679,18018,1488,1912,浙江,1712577586,1058,BV1UH4y1T7Su
早知道姐姐喜欢野的我就不装了【崔然竣】240412 音银 Deja Vu 竖版高清直拍,崔然竣_YeonEpoch,33669,161,3136,7074,1267,555,浙江,1712918158,194,BV1tZ421Y79a
配角抢饭碗？当主角不争气，就别怪配角上桌喽！,来不急哇娱,133755,163,860,868,56,8,辽宁,1712720613,376,BV1dx421U7MJ
灵活的胖胖哥，这口技表演真是绝了,戏曲郑三妹,662236,2233,8466,93004,10612,2296,河南,1711925737,403,BV1Cm421J7xT
活久见！文韬跳Queencard了！,酒酿小熊子,83409,162,3287,11186,394,2955,浙江,1712928989,62,BV1uC411V7rJ
【张艺兴】时隔八年的韩国打歌舞台预告公开 (240411),Ning_EXO,170994,34,503,5209,75,599,四川,1712839452,8,BV1rA4m1F7iF
【张艺兴】韩国MCD打歌预告：240411,张艺兴B站投喂总支部,175348,44,392,4135,229,1011,安徽,1712837853,8,BV1CF4m1K7No
“小晞：膝盖踢是什么东西啊  鱼粮：我知道且很熟”｜肖宇梁张起灵,wongjiahui辉,84091,19,2815,10555,146,85,四川,1712761536,73,BV1dm42177LD
ENHYPEN 'EN-O'CLOCK' EP90 同苦同乐 3,ENHYPEN,87305,7623,962,4517,997,134,韩国,1712836800,1620,BV1sr421x7jZ
阚清子，前男友是他会后悔吗【飘飘】,柳飘飘了吗,101171,529,580,3850,367,538,广东,1712920619,645,BV1bp421X7jF
hybe是工作 yg是生活  ｜ 明宰铉Ruka 《SHEESH》,kuma崽,111358,15,939,9620,68,463,贵州,1712829197,20,BV1zq421F7is
【BABYMONSTER】240411It's live乐队,BABYMONSTER_base,66701,857,1148,5268,428,985,日本,1712823157,326,BV1yD421W7gi
【周深】电影频道M榜见面会 清唱《小美满》太好听了！［官方+直拍］,周深资讯站,48465,533,1411,6625,755,165,广东,1712908914,607,BV1LC411V7mY
抓马拉扯？流量密码！这样只会让我心疼高海宁和导师《无限超越班2》第七期,噬元兽影视,421170,2133,770,6753,405,218,河北,1712578237,892,BV1tF4m1K7gs
tim亲手实拍，剪辑的100元广告片在这里啦！,灌顶酿造-饭饭,89807,59,691,11395,947,202,浙江,1712921133,49,BV14F4m1N7xg
这100w对于他来说可能是命中注定啊！却让听泉破了防hahahah,听泉鉴定,887423,970,12158,156214,2533,1732,江苏,1711257934,254,BV1tr42187y8
未播先糊、全员黑料、集体退赛？《浪姐5》全阵容吃瓜盘点！（上）【比你盏鬼】,比你盏鬼,108364,540,276,1861,201,62,广东,1712711280,931,BV1gC41157p6
笑死，原来这姐当监制真不是挂名而已，与凤行真是她的孩子！！！,葛小猪猪儿,97870,141,640,4134,298,46,广东,1712825389,105,BV1Kz42117mt
【新文化技术研究所】[BE ORIGINAL] NCT DREAM 'Smoothie' (Behind)（中字）,NCT中文首站,51689,1485,1616,4005,491,163,韩国,1712857208,1078,BV1LT421m7tA
和异地对象吵架，对象找了个我当地的社会人给我打电话约我晚上出去唠唠？,崔米林崔美玲,111241,197,334,10917,217,417,浙江,1712745061,98,BV1G1421m7PD
美貌和身材是张元英“最不值得一提”的优点｜一些个girlstalk，学小元心态 享开挂人生,放假好开心的猪皮,69394,3,2262,569,82,8,四川,1712721600,195,BV18A4m1F7yV
骨相皮相大起底！鞠婧祎改个妆就会像景甜周迅曾黎等大美人？,咸鱼小汉堡,73740,674,840,8122,1169,246,浙江,1713006000,773,BV1Q1421R7Yz
《荒野大追捕》第2季 第2集：特种兵 vs 蒙古猎手,悦聊Ayl,636699,222,11117,4889,811,46,内蒙古,1712224799,825,BV1Eq421w7vX
【天海祐希】55岁依然可以穿燕尾服把你掰弯啊！,天海祐希养老搭子,75884,217,1063,1880,288,381,日本,1712855103,166,BV1uD421s7r9
【时代少年团】《三人行》23：反差行,时代少年团,901739,29354,10738,43477,12672,790,北京,1712397600,1438,BV1hx421S7fw
[SVT Record] DKLog in 米兰｜要一起来一场双层巴士游吗?｜Salute🥂米兰Bally时装周,SEVENTEEN,35725,889,1121,5938,1075,214,北京,1712836800,635,BV1cE421u7JM
良田真的变成了良田，上面开满了花,小白娱圈,277671,0,7691,2826,214,4,江苏,1712307681,192,BV1yq421w7rg
偶像练习生六周年 我成为了少儿节目主持人,陈斯琪Suki,257839,342,1446,26519,3013,429,北京,1712471310,175,BV17z42117kV
如果‘金智媛’饰演‘郑书意’,侦探白气球,90492,442,254,1882,139,298,辽宁,1712853300,141,BV1vt421J74R
【岩永彻也】学中文一个月考满分？很难么？,岩永彻也,48049,232,630,5022,1329,472,日本,1712916000,666,BV1QK421h71t
天才少女的自杀，竟使昭和自杀率猛涨44%，十年偶像冰河期的起点“昭和异闻录”（补）,若林子美,81085,242,804,1799,414,44,山东,1712707200,1152,BV1PD421p79r
惊艳了时光的一场旧风月｜当年的古风歌曲还在你的歌单里吗,萧何喜欢奶茶,43849,393,3170,2852,730,256,广西,1712635200,1928,BV1mq421w7Fz
《怂在囧途》之粤囧篇（下）,刘小怂_,38245,718,641,4987,2451,108,上海,1712905200,866,BV19T421m7hW
Stray Kids 可疑的研究所 上,少吃点CD,48229,2229,1245,2648,101,275,澳大利亚,1712834015,1638,BV1Vm411B7Kp
凌妈妈的婚纱为你而穿,左左凌妈妈,83789,26,2041,6505,205,67,浙江,1712656800,17,BV1Nx4y1e7EK
完全理解为啥全球审美断崖式降级了！,爱嗑颜的Mario,1977475,5547,42862,59715,9071,7588,浙江,1711079507,362,BV16x4y1U7fE
【(G)I-DLE】(中字)雨琦与MAX的E人欢乐聊天时刻 | SELF-ON KODE,麦克特洛夫斯基,68970,451,910,5090,291,110,山东,1712725654,1121,BV1KE421u7jb
派小轩x葛广全｜抖人有自己的恋综｜Say U love me｜葛派也有日常糖点混剪了,iioccey,66188,125,566,2082,248,120,天津,1712839193,200,BV1TJ4m1V7rx
Nmixx 糯米香香被称为特种兵是应该的！！！#nmixx #kpop #爻 #唱歌,Summer2024_,40778,44,568,6903,94,29,江苏,1712839637,204,BV1ND421s79s
林予晞cc,yuki酱由纪,68993,16,742,759,27,60,四川,1712739845,207,BV1wr42147Fx
“老天奶...导演一定是烦亖了娇妻文学，才会拍出史书上真双强的少年帝后吧!!”,来罐冰淇淋,96453,159,747,3316,156,77,浙江,1712743260,29,BV1Rr421x79o
真的是物美价廉！,cheems日记,1837417,152,8111,185797,292,621,江苏,1712214922,25,BV1UM4m1R76r
20240406【高清】G-I-DLE女团 澳门 粉丝签售会！,瀟湘劍俠,53284,12,1983,452,47,7,陕西,1712680801,3001,BV1Xp421y7pP
バーレスク东京夜店超可爱小妹妹まいか(maika),星光阿妮婭,44795,41,2504,3957,122,624,上海,1712901356,48,BV1px421m7mW
新嘉宾颜值绝了！新酒店男女混住！《恋爱兄妹》解说06,郭本尼,256067,3452,1209,11383,2946,511,北京,1712597071,1602,BV1gr42147wj
【AI Cover】李硕珉-在加纳共和国离婚 “你还爱我吗，我没办法看着你双眼说那句话。” （原唱：菲道尔&Dior大颖）,请吃一口绿豆糕,21322,27,1764,3345,600,418,上海,1712830200,259,BV1nq421c7tD
【宣璐】又是i人独处的一天,宣璐pororo,49034,90,290,4312,425,22,北京,1712915100,590,BV1bq421c76B
不愧是二代前辈的控场能力~当Tsuki麦克出问题时,tiktokpop,78322,2,435,4313,13,27,浙江,1712844580,17,BV1zt421E77E
你们想要的《满腹经纶》来啦,青曲文化,43318,137,853,2339,988,86,陕西,1712925802,2388,BV1nZ421Y7tw
黛玉的一个小举动恐酿成大错,进步之道,64604,0,777,911,14,2,陕西,1712744151,154,BV1oH4y1T7yD
【影视剧同一场戏对比】赵丽颖、杨紫...谁是“买家秀”谁是“卖家秀”？,村口小芳v,62711,278,294,975,45,13,四川,1712911868,470,BV1mq421c778
瞎剪,一方CL,122700,150,12270,53017,11339,1610,山西,1712320200,57,BV17J4m157M7
失去意识还能搂脖子靠肩膀的多奇怪？看这段感觉自己的智商被尊重了一次！,酒精味椰子,94205,5,137,1789,8,4,河北,1712748236,47,BV12z421y7jU
【六站联合】240407 EP.26-1 两天豆夜TXT集团继承战争Returns第一弹,TXT记录库,36891,1134,1274,1822,244,124,上海,1712831853,3016,BV1UC411V7Bh
PLAVE官方应援棒使用指南✨,plave_official,27224,159,940,4508,518,339,韩国,1712908800,145,BV1Wx4y1a7of
【随机中字】240410 YOU MAKE STRAY KIDS STAY 直播 全场 中字,随机上工的野生字幕组,31119,345,1043,2851,222,62,美国,1712772758,486,BV1XD421H7Uz
【你好明星】刘宇：叫我老公会回头，因为很稀缺～,同道大叔官方帐号,8569,707,996,2217,1753,195,北京,1712829897,518,BV1yp421y7Cq
